land_id,project_type,total_area_acres,num_claimants,documents_complete,legal_dispute,ownership_conflict,compensation_verified,forest_clearance_required,forest_clearance_obtained,gram_sabha_noc_obtained,delayed,days_delayed,risk_level
L0393,Airport,3.34,2,0,0,0,0,0,1,1,1,171,Medium
L0394,Highway,25.71,3,0,0,0,1,1,0,0,1,234,Medium
L0395,Hospital,3.82,2,1,0,0,1,0,1,0,0,3,Medium
L0396,Highway,15.01,1,1,0,0,1,1,0,1,0,4,Medium
L0397,Airport,14.67,6,1,0,0,1,1,1,0,1,93,Medium
L0398,Railway,0.83,4,1,0,1,1,1,1,1,1,172,Medium
L0399,Highway,18.45,4,1,0,0,1,0,1,1,0,4,Low
L0400,Highway,9.96,4,1,1,1,1,0,1,1,1,324,High
L0401,Railway,2.16,5,0,0,0,1,0,1,0,1,138,Medium
L0402,Airport,4.36,5,1,0,1,1,0,1,0,1,195,Medium
L0403,Highway,1.66,5,1,0,0,1,1,1,1,0,4,Low
L0404,Airport,35.72,4,1,0,0,1,0,1,1,0,2,Low
L0405,Highway,5.54,3,1,1,0,1,0,1,0,1,238,Medium
L0406,Highway,33.8,4,0,0,0,1,0,1,1,1,169,Medium
L0407,Railway,9.99,3,0,1,1,0,0,1,0,1,407,High
L0408,Railway,4.51,7,1,0,0,1,1,0,1,0,0,Medium
L0409,Railway,5.55,4,1,1,0,1,0,1,0,1,224,Medium
L0410,Metro,2.69,3,0,0,0,0,0,1,1,1,192,Medium
L0411,Highway,3.3,5,1,0,0,1,1,1,0,0,2,Medium
L0412,Hospital,3.13,4,0,0,0,1,0,1,1,0,0,Medium
L0413,Hospital,5.41,4,1,0,0,1,0,1,1,0,1,Low
L0414,Highway,5.97,3,0,1,1,1,0,1,1,1,360,High
L0415,Other,2.64,8,1,0,0,1,0,1,1,0,11,Low
L0416,Other,34.41,4,1,1,1,1,0,1,1,1,284,Medium
L0417,Railway,19.31,4,1,0,0,1,1,1,1,0,9,Low
L0418,Highway,1.55,5,0,0,0,1,1,1,1,0,4,Medium
L0419,Railway,9.17,4,1,1,1,1,0,1,1,1,311,High
L0420,Airport,16.3,3,1,1,0,1,0,1,1,1,232,Medium
L0421,Railway,6.44,6,1,0,1,0,1,1,1,1,241,Medium
L0422,Other,23.39,4,1,1,1,1,0,1,1,1,311,High
L0423,Airport,16.96,3,0,0,0,1,1,1,1,1,147,Medium
L0424,Metro,7.63,4,1,0,0,1,0,1,0,1,105,Medium
L0425,Other,0.51,4,1,1,1,1,0,1,1,1,320,High
L0426,Highway,6.16,3,0,0,0,1,0,1,1,1,153,Medium
L0427,Highway,6.28,1,1,0,0,1,1,1,0,0,0,Medium
L0428,Railway,1.77,2,1,0,0,1,0,1,0,0,8,Low
L0429,Highway,3.28,3,1,0,0,1,0,1,1,0,18,Low
L0430,Metro,2.23,3,0,0,1,1,0,1,1,1,267,High
L0431,Other,21.45,5,0,0,1,1,0,1,1,1,248,Medium
L0432,Metro,5.52,6,0,0,1,1,0,1,1,1,214,High
L0433,Hospital,11.9,4,1,0,0,1,0,1,0,0,11,Low
L0434,Highway,10.0,2,1,0,0,0,1,1,0,1,113,Medium
L0435,Highway,0.69,5,1,0,1,1,1,1,1,1,175,Medium
L0436,Airport,17.57,3,1,0,0,1,1,0,1,0,5,Medium
L0437,Railway,23.01,5,1,0,0,1,1,1,0,0,4,Low
L0438,Railway,0.93,4,1,0,0,1,1,1,1,0,1,Low
L0439,Airport,0.76,5,1,0,1,0,0,1,1,1,225,Medium
L0440,Highway,4.24,3,1,1,0,1,1,1,0,1,188,High
L0441,Metro,54.76,3,1,1,1,1,0,1,1,1,281,High
L0442,Metro,13.69,3,1,1,0,1,0,1,1,1,238,Medium
L0443,Hospital,8.04,2,0,0,0,1,0,1,1,0,6,Medium
L0444,Railway,1.12,2,1,1,0,0,0,1,1,1,268,Medium
L0445,Highway,16.21,3,1,1,0,1,0,1,1,1,185,Medium
L0446,Railway,10.4,2,0,0,0,0,0,1,1,1,181,Medium
L0447,Highway,5.86,2,0,1,1,1,1,0,1,1,416,High
L0448,Railway,30.81,4,0,0,0,1,1,1,1,1,124,Medium
L0449,Highway,4.24,3,1,0,0,1,1,1,1,0,5,Low
L0450,Highway,8.85,4,1,0,0,1,1,0,1,0,4,Low
L0451,Highway,2.99,1,1,1,0,1,1,1,1,1,201,Medium
L0452,Highway,44.65,4,1,0,0,1,1,1,1,0,8,Medium
L0453,Highway,5.94,6,1,1,1,1,0,1,1,1,276,High
L0454,Airport,59.42,5,0,1,0,1,1,1,1,1,267,High
L0455,Railway,9.46,5,1,0,0,1,0,1,1,0,6,Low
L0456,Railway,1.52,4,1,1,1,1,0,1,1,1,308,High
L0457,Highway,6.92,4,1,0,0,1,0,1,1,0,58,Low
L0458,Highway,0.62,4,1,0,0,1,0,1,0,0,6,Medium
L0459,Metro,4.06,4,0,0,0,1,0,1,1,1,164,Medium
L0460,Hospital,41.75,4,1,0,0,1,0,1,1,0,2,Low
L0461,Metro,1.61,6,1,0,0,1,0,1,0,1,76,Medium
L0462,Metro,9.38,1,1,0,0,1,0,1,1,0,1,Medium
L0463,Highway,4.97,7,0,0,0,1,1,0,1,1,209,Medium
L0464,Hospital,9.19,4,1,1,0,0,0,1,1,1,275,Medium
L0465,Highway,2.37,5,0,1,1,1,0,1,1,1,349,High
L0466,Railway,4.2,5,1,0,1,1,0,1,0,1,187,Medium
L0467,Airport,10.0,8,0,0,0,1,0,1,0,1,164,Medium
L0468,Highway,6.85,3,0,0,1,1,1,1,1,1,220,Medium
L0469,Highway,13.39,3,0,0,0,1,1,1,0,1,158,Medium
L0470,Other,2.53,2,0,0,0,1,0,1,1,0,14,Medium
L0471,Railway,22.61,4,1,1,1,1,0,1,1,1,306,High
L0472,Railway,9.28,7,0,0,1,0,1,1,1,1,290,High
L0473,Other,3.8,3,1,1,0,1,0,1,1,1,199,Medium
L0474,Railway,2.73,4,1,0,0,1,0,1,0,0,5,Low
L0475,Railway,5.48,4,1,1,0,1,1,0,1,1,299,High
L0476,Railway,11.39,4,1,1,0,1,0,1,1,1,224,Medium
L0477,Highway,13.91,5,1,0,0,1,0,1,0,0,3,Medium
L0478,Airport,7.42,5,1,0,0,1,0,1,1,0,7,Low
L0479,Metro,1.64,4,0,0,0,1,0,1,1,1,162,Medium
L0480,Highway,5.14,2,1,0,0,1,0,1,1,0,3,Low
L0481,Airport,2.48,2,0,0,0,0,0,1,1,1,180,Medium
L0482,Highway,25.53,2,1,0,0,1,0,1,1,0,12,Low
L0483,Hospital,6.94,3,1,0,0,1,0,1,1,0,15,Low
L0484,Airport,4.23,3,0,0,0,0,1,1,1,1,211,Medium
L0485,Highway,4.63,3,0,0,0,1,1,0,1,1,256,Medium
L0486,Railway,2.52,5,1,1,0,1,0,1,1,1,221,Medium
L0487,Metro,1.42,5,1,1,1,1,0,1,1,1,275,High
L0488,Highway,43.63,5,1,0,0,0,0,1,1,0,1,Medium
L0489,Highway,5.0,3,1,0,0,1,0,1,0,0,4,Medium
L0490,Railway,2.1,3,0,0,0,0,1,1,1,1,196,Medium
L0491,Railway,7.31,5,0,0,1,1,0,1,1,1,232,Medium
L0492,Hospital,32.78,4,1,0,1,0,0,1,0,1,209,Medium
L0493,Railway,30.59,4,1,1,0,0,1,1,0,1,228,High
L0494,Railway,6.65,6,1,0,0,1,1,1,0,0,13,Low
L0495,Highway,3.19,4,1,0,0,1,1,1,1,0,9,Low
L0496,Highway,0.62,2,1,0,1,0,0,1,1,1,205,Medium
L0497,Railway,28.22,6,0,0,0,0,1,0,1,1,274,High
L0498,Railway,46.22,2,1,0,0,1,0,1,1,0,21,Low
L0499,Highway,3.33,3,1,0,0,1,1,1,1,0,11,Low
L0500,Railway,4.95,4,0,0,0,1,0,1,1,0,11,Medium
L0501,Railway,7.6,1,1,0,0,1,0,1,0,0,24,Low
L0502,Metro,4.75,3,0,0,0,1,0,1,1,1,175,Medium
L0503,Hospital,4.65,3,1,1,0,1,0,1,1,0,16,Medium
L0504,Highway,20.11,6,1,0,0,1,0,1,1,0,8,Low
L0505,Railway,6.02,5,0,0,1,0,0,1,1,1,290,High
L0506,Hospital,39.0,4,0,0,0,1,0,1,1,0,7,Medium
L0507,Metro,7.58,5,1,0,1,0,0,1,0,1,243,High
L0508,Airport,2.25,5,1,0,0,1,1,1,1,0,2,Low
L0509,Railway,12.55,4,0,0,0,0,0,1,1,1,196,Medium
L0510,Railway,7.9,2,1,0,0,0,0,1,1,0,11,Medium
L0511,Railway,1.03,5,1,0,1,1,1,1,1,1,188,Medium
L0512,Airport,3.36,3,1,0,0,0,0,1,1,1,149,Medium
L0513,Highway,9.66,4,1,0,0,1,0,1,1,0,10,Low
L0514,Hospital,12.31,4,1,0,0,1,0,1,1,0,1,Low
L0515,Railway,12.04,5,1,0,0,1,0,1,1,0,9,Medium
L0516,Airport,1.14,4,1,0,0,1,1,1,0,0,11,Medium
L0517,Highway,8.85,5,1,0,0,1,0,1,1,0,1,Medium
L0518,Hospital,9.86,5,0,1,1,1,0,1,1,1,384,Medium
L0519,Railway,17.64,5,0,0,0,0,1,1,1,1,224,Medium
L0520,Railway,27.56,5,0,1,1,1,1,1,1,1,384,High
L0521,Highway,17.31,3,1,0,0,0,0,1,1,0,4,Medium
L0522,Hospital,32.31,7,1,0,0,1,0,1,1,0,0,Low
L0523,Highway,7.63,4,0,1,1,1,1,0,0,1,422,High
L0524,Highway,12.19,4,1,0,0,0,1,1,1,0,30,Medium
L0525,Highway,8.52,3,1,0,0,0,0,1,0,1,154,Medium
L0526,Highway,7.5,3,1,0,0,0,1,0,1,1,209,Medium
L0527,Railway,3.3,5,0,0,0,0,1,0,1,1,299,High
L0528,Railway,9.12,4,0,0,0,1,0,1,1,0,11,Medium
L0529,Other,35.48,5,1,0,0,1,0,1,1,0,0,Low
L0530,Metro,2.05,2,0,0,0,1,0,1,1,1,137,Medium
L0531,Hospital,10.9,4,0,0,0,0,0,1,1,1,180,Medium
L0532,Highway,27.55,3,1,0,0,1,1,0,0,1,194,Medium
L0533,Highway,1.63,4,1,0,0,0,1,0,1,1,236,Medium
L0534,Railway,6.0,2,1,0,0,1,1,1,1,0,18,Low
L0535,Highway,3.6,2,0,0,1,1,1,0,1,1,332,High
L0536,Highway,27.28,4,1,0,0,1,0,1,0,0,7,Low
L0537,Highway,28.31,7,1,0,1,1,0,1,1,1,208,Medium
L0538,Railway,2.29,5,1,0,0,0,1,1,1,0,15,Medium
L0539,Highway,1.4,6,1,1,1,1,1,0,0,1,401,High
L0540,Railway,17.06,9,1,0,0,1,0,1,1,0,4,Low
L0541,Railway,0.95,4,1,0,0,1,0,1,1,0,6,Low
L0542,Railway,23.72,4,1,0,0,0,0,1,1,0,2,Medium
L0543,Railway,5.52,4,1,0,0,1,1,1,0,1,92,Medium
L0544,Metro,6.52,1,1,1,0,1,0,1,1,1,238,Medium
L0545,Metro,7.55,2,1,0,0,1,0,1,1,0,2,Medium
L0546,Highway,19.03,9,1,0,0,0,0,1,1,0,20,Medium
L0547,Other,3.02,3,1,0,0,0,0,1,1,0,0,Medium
L0548,Railway,26.6,5,1,0,0,0,1,1,1,0,8,Low
L0549,Highway,8.43,3,1,0,0,1,1,1,1,0,10,Low
L0550,Hospital,4.76,3,1,0,0,1,0,1,1,0,3,Low
L0551,Other,52.01,5,1,0,1,1,0,1,1,0,1,Low
L0552,Metro,15.73,5,1,1,1,1,0,1,1,1,282,High
L0553,Other,17.17,3,1,1,0,1,0,1,0,1,239,Medium
L0554,Highway,10.96,2,1,0,1,0,1,1,1,1,242,Medium
L0555,Other,2.31,2,1,0,0,0,0,1,1,0,1,Medium
L0556,Metro,1.48,4,0,0,0,1,0,1,1,1,120,Medium
L0557,Highway,7.58,8,1,1,1,1,0,1,0,1,320,High
L0558,Highway,15.73,4,0,0,1,1,0,1,1,1,211,High
L0559,Metro,4.58,4,1,0,0,1,0,1,1,0,21,Medium
L0560,Highway,2.41,4,1,0,0,1,1,0,1,1,157,Medium
L0561,Highway,0.75,2,0,1,0,1,1,0,0,1,336,High
L0562,Railway,15.57,5,0,0,0,1,1,1,1,1,122,Medium
L0563,Metro,14.63,5,1,0,0,1,0,1,1,0,12,Medium
L0564,Highway,8.71,3,0,1,1,0,1,0,1,1,486,High
L0565,Highway,7.25,6,0,0,0,1,1,1,1,0,5,Medium
L0566,Metro,8.68,7,1,1,0,1,0,1,0,1,191,High
L0567,Highway,26.45,3,1,0,1,0,0,1,1,1,232,High
L0568,Airport,7.29,6,1,1,1,0,1,1,1,1,364,High
L0569,Hospital,18.27,5,1,0,1,1,0,1,1,0,8,Low
L0570,Other,2.65,3,1,0,0,1,0,1,1,0,7,Low
L0571,Highway,27.41,4,1,1,0,0,0,1,1,1,250,High
L0572,Highway,1.56,2,1,1,0,1,1,1,1,1,184,Medium
L0573,Highway,14.49,5,1,0,0,1,1,1,1,0,4,Low
L0574,Other,1.82,3,1,0,0,1,0,1,1,0,9,Low
L0575,Highway,22.45,4,1,0,0,1,0,1,1,0,4,Low
L0576,Highway,6.75,5,0,0,1,1,1,1,0,1,219,High
L0577,Railway,1.15,4,1,0,0,1,0,1,1,0,19,Low
L0578,Metro,18.34,3,0,0,0,1,0,1,1,1,140,Medium
L0579,Other,0.68,4,1,0,0,1,0,1,0,0,7,Low
L0580,Railway,8.49,2,1,1,1,1,0,1,1,1,279,Medium
L0581,Highway,3.79,3,1,1,1,1,0,1,1,1,281,High
L0582,Railway,1.08,4,1,0,0,1,0,1,1,0,4,Low
L0583,Highway,16.26,2,1,0,0,0,0,1,1,1,106,Medium
L0584,Metro,8.24,3,1,0,0,1,0,1,1,0,4,Low
L0585,Highway,10.11,3,0,0,0,1,1,0,1,1,233,Medium
L0586,Railway,6.68,4,1,0,0,0,0,1,1,1,163,Medium
L0587,Metro,13.13,2,1,0,0,0,0,1,1,1,116,Medium
L0588,Highway,3.81,6,0,1,1,1,1,1,1,1,335,High
L0589,Highway,32.57,2,1,0,0,1,0,1,1,0,3,Low
L0590,Highway,14.5,6,1,0,1,1,0,1,1,1,201,Medium
L0591,Highway,7.71,3,1,0,0,1,1,0,1,0,3,Medium
L0592,Metro,3.42,6,1,0,0,1,0,1,0,0,7,Medium
L0593,Airport,1.57,3,1,0,1,1,0,1,1,1,156,Medium
L0594,Highway,26.53,3,0,1,0,1,1,0,1,1,370,High
L0595,Hospital,7.49,1,1,1,0,1,0,1,1,1,191,Medium
L0596,Hospital,38.02,3,0,0,0,0,0,1,1,0,11,Medium
L0597,Other,17.54,9,0,1,1,0,0,1,1,1,427,High
L0598,Hospital,2.12,8,1,0,0,1,0,1,1,0,13,Low
L0599,Metro,2.88,5,1,0,0,0,0,1,0,1,110,Medium
L0600,Railway,27.22,6,1,0,0,1,0,1,1,0,0,Low
